Sample,Object,OName,RAJ2000,DEJ2000,ObsDate,_tab1_7,TexpUVB,TexpVIS,TexpNIR,Lupus,Notes,n_Object,FHa,e_FHa,EWHa,e_EWHa,FHb,e_FHb,EWHb,e_EWHb,FHg,e_FHg,EWHg,e_EWHg,FHd,e_FHd,EWHd,e_EWHd,l_FHe,FHe,e_FHe,EWHe,e_EWHe
,SSTc2dJ160836.2-392302,V1094 Sco,16 08 36.18,-39 23 02.5,2016-05-13,2457522.227447,4x300,4x250,4x100,III,,,1.86e-12,1.9e-13,-1.450,0.268,3.92e-13,1e-13,-0.542,0.215,1.82e-13,6.5e-14,-0.373,0.130,1.31e-13,3.7e-14,-0.360,0.176,,1.42e-13,2.7e-14,-0.780,0.275
,SSTc2dJ160927.0-383628,,16 09 26.98,-38 36 27.6,2015-07-13,2457216.022778,2x900,2x850,2x960,III,,,3.39e-13,3e-15,-7.374,0.237,2.07e-13,9e-15,-6.055,0.694,1.73e-13,1.1e-14,-5.260,1.310,1.7e-13,1e-14,-6.347,1.210,,1.14e-13,1.4e-14,-4.196,1.390
,SSTc2dJ161018.6-383613,,16 10 18.56,-38 36 13.0,2015-08-18,2457252.041176,2x900,2x850,2x960,III,,,9.93e-15,8.3e-16,-1.490,0.289,2.53e-15,2.4e-16,-1.421,0.406,1.77e-15,2.1e-16,-1.821,0.638,1.39e-15,1.8e-16,-1.755,0.825,,1.25e-15,2.3e-16,-1.622,0.811
,SSTc2dJ161019.8-383607,,16 10 19.84,-38 36 06.8,2015-08-08,2457242.086534,2x900,2x850,2x960,III,,,3.77e-15,1.6e-16,-2.257,0.320,7.7e-16,9.7e-17,-2.194,0.530,3.92e-16,6.9e-17,-3.111,0.560,1.99e-16,3.7e-17,-1.301,0.520,,2.1e-16,5e-17,-1.810,1.020
,SSTc2dJ161029.6-392215,,16 10 29.57,-39 22 14.7,2015-08-13,2457247.090628,2x900,2x850,2x960,III,,,1.96e-14,1.6e-15,-0.943,0.149,4.5e-15,5.1e-16,-0.853,0.193,2.76e-15,3.5e-16,-0.797,0.215,2.15e-15,4.4e-16,-0.833,0.371,,1.12e-15,1.6e-16,-0.878,0.510
,SSTc2dJ161243.8-381503,,16 12 43.75,-38 15 03.3,2015-07-10,2457213.174667,2x300,2x250,2x300,III,,,4.7e-13,2e-14,-1.762,0.173,9.35e-14,1.23e-14,-0.817,0.186,5.4e-14,9.4e-15,-0.759,0.286,4.8e-14,7.6e-15,-1.055,0.325,,5.19e-14,7.5e-15,-1.962,0.806
,SSTc2dJ161344.1-373646,,16 13 44.11,-37 36 46.4,2015-06-26,2457199.974706,2x900,2x850,2x960,III,,,1.67e-13,3e-15,-11.732,1.170,4.03e-14,1.6e-15,-6.329,0.830,3.14e-14,1.7e-15,-6.207,1.210,2.73e-14,1.5e-15,-6.273,1.110,,2.06e-14,2.9e-15,-4.537,1.580
,Sz102,,16 08 29.73,-39 03 11.0,2015-04-17,2457129.298225,2x1200,2x1260,2x1200,III,,,6.14e-13,2e-15,-31.379,1.080,1.88e-13,3e-15,-10.044,1.290,7.56e-14,1.2e-15,-3.948,0.313,4.28e-14,1.5e-15,-3.201,0.388,,2.22e-14,4.1e-15,-2.078,0.519
,Sz108B,,16 08 42.87,-39 06 14.7,2015-06-18,2457191.161119,4x900,4x850,4x960,III,,,1.3e-13,4e-15,-6.900,1.030,1.3e-14,1e-15,-3.368,1.050,6.97e-15,6.1e-16,-2.627,0.783,5.5e-15,7.2e-16,-2.947,1.179,,3.36e-15,4.4e-16,-2.058,0.806
,Sz117,,16 09 44.34,-39 13 30.3,2015-07-13,2457216.068820,2x360,2x310,2x360,III,,,1.71e-13,7e-15,-1.616,0.148,4.36e-14,4.6e-15,-1.120,0.193,3.16e-14,3.2e-15,-1.117,0.198,3.29e-14,3.8e-15,-1.824,0.394,,2.71e-14,1.7e-15,-2.035,0.442
,Sz118,,16 09 48.64,-39 11 16.9,2015-07-13,2457216.097061,2x450,2x400,2x480,III,,,5.98e-13,4.3e-14,-1.250,0.169,1.97e-13,2.2e-14,-0.723,0.139,1.55e-13,1.9e-14,-0.872,0.214,1.43e-13,1.4e-14,-1.310,0.313,,1.76e-13,9e-15,-2.824,0.504
,Sz129,,15 59 16.48,-41 57 10.3,2015-06-26,2457199.059343,2x100,2x50,2x100,IV,,,1.13e-12,3e-14,-2.511,0.204,5.07e-13,4.2e-14,-1.598,0.284,4.14e-13,3.9e-14,-1.638,0.328,3.54e-13,3.2e-14,-1.671,0.294,,2.38e-13,1.9e-14,-1.386,0.195
,Sz131,,16 00 49.42,-41 30 04.1,2015-07-01,2457204.221691,2x450,2x400,2x960,IV,,,1.02e-13,6e-15,-1.870,0.235,2.68e-14,4.2e-15,-1.347,0.363,2.17e-14,4e-16,-1.411,0.494,2.06e-14,4e-15,-1.584,0.598,,2.07e-14,2.5e-15,-1.733,0.431
,Sz133,,16 03 29.41,-41 40 02.7,2015-07-02,2457205.191567,2x900,2x850,2x960,IV,,,5.85e-13,9e-15,-7.007,0.349,6.24e-14,1.01e-14,-0.980,0.280,4.11e-14,1.43e-14,-1.019,0.357,2.28e-14,6.4e-15,-0.630,0.281,,2.13e-14,1.4e-15,-0.820,0.091
,Sz65,,15 39 27.78,-34 46 17.4,2015-06-04,2457177.017838,2x150,2x100,2x150,I,,,2.55e-13,2.2e-14,-0.348,0.041,2.87e-14,1.47e-14,-0.066,0.022,,,,,1.45e-14,8.5e-15,-0.088,0.035,,1.38e-14,2.7e-15,-0.207,0.083
,Sz68,,15 45 12.87,-34 17 30.8,2015-05-18,2457160.210844,2x100,2x60,2x50,I,,,5.06e-12,2e-13,-0.670,0.039,,,,,,,,,,,,,,,,,
T,Sz75/GQ Lup,,15 49 12.10,-35 39 05.1,2010-05-05,2455321.270673,2x400,4x160,6x240,I,2,,9.66e-12,2.2e-13,-4.276,0.293,1.37e-12,1.2e-13,-0.919,0.152,7.48e-13,1.78e-13,-0.685,0.264,4.97e-13,1.01e-13,-0.557,0.199,,3.41e-13,1.79e-13,-0.517,0.282
T,Sz76,,15 49 30.74,-35 49 51.4,2014-04-28,2456775.245961,2x478,2x280,2x26,I,3,,1.56e-13,8e-15,-2.450,0.450,3.15e-14,2.4e-15,-1.298,0.212,1.62e-14,1.8e-15,-0.963,0.263,1.18e-14,1.2e-15,-1.011,0.264,,1e-14,1.2e-15,-1.416,0.544
T,Sz77,,15 51 46.95,-35 56 44.1,2010-05-05,2455321.376758,2x400,4x320,6x240,I,2,,4.13e-13,2.9e-14,-0.779,0.096,1e-13,2.6e-14,-0.328,0.127,6.93e-14,2.91e-14,-0.375,0.131,5.1e-14,1.79e-14,-0.383,0.160,,3.84e-14,1.13e-14,-0.482,0.238
,Sz81A (SW),,15 55 50.21,-38 01 34.0,2015-08-19,2457253.072870,2x300,2x250,2x300,II,,,3.31e-13,8e-15,-5.313,0.649,3.39e-14,1.4e-15,-2.306,0.439,1.32e-14,1e-15,-1.189,0.260,7.78e-15,8.5e-16,-0.923,0.242,,6.02e-15,1.52e-15,-1.049,0.580
,Sz81B (NE),,15 55 50.26,-38 01 32.2,2015-08-19,2457253.072870,2x300,2x250,2x300,II,,,3.4e-14,2.2e-15,-1.498,0.219,7.05e-15,6.3e-16,-1.460,0.412,4.16e-15,3e-16,-1.072,0.241,3.06e-15,3.6e-16,-1.062,0.368,,2.3e-15,6.3e-16,-1.447,0.723
T,Sz82/IM Lup,,15 56 09.18,-37 56 06.1,2010-05-04,2455320.065259,2x300,2x120,2x200,II,2,,1.49e-12,2.6e-13,-0.868,0.146,7.72e-13,8.8e-14,-0.725,0.142,2.38e-13,3.7e-14,-0.256,0.061,2.16e-13,2.8e-14,-0.314,0.062,,1.79e-13,1.7e-14,-0.584,0.091
,Sz90,,16 07 10.08,-39 11 03.5,2015-07-12,2457215.095862,2x360,2x310,2x360,III,,,6.01e-13,2.5e-14,-1.679,0.134,1.65e-13,2.7e-14,-0.846,0.218,9.79e-14,2.12e-14,-0.691,0.209,1.04e-13,1.5e-14,-1.229,0.317,,1.07e-13,2e-14,-1.705,0.478
,Sz95,,16 07 52.32,-38 58 06.3,2015-07-12,2457215.118419,2x360,2x310,2x360,III,,,3.51e-14,2.6e-15,-0.415,0.045,1.09e-14,1.3e-15,-0.386,0.079,6.87e-15,1.32e-15,-0.399,0.130,4.57e-15,6e-16,-0.362,0.083,,9.13e-15,2.27e-15,-1.484,0.666
,Sz96,,16 08 12.62,-39 08 33.5,2015-07-03,2457206.270061,2x360,2x310,2x360,III,,,1.63e-13,9e-15,-0.554,0.046,5.64e-14,5.8e-15,-0.437,0.068,4.45e-14,9.9e-15,-0.622,0.218,3.23e-14,5.6e-15,-0.644,0.224,,3.66e-14,5.9e-15,-1.481,0.741
,Sz98,,16 08 22.50,-39 04 46.0,2015-07-02,2457205.132662,2x150,2x100,2x150,III,,,4.24e-12,1e-13,-2.742,0.141,9.93e-13,9.2e-14,-0.942,0.152,5.31e-13,9.9e-14,-0.645,0.213,4.28e-13,6.2e-14,-0.685,0.153,,3.4e-13,4.3e-14,-0.743,0.158
