angDist,Sample_1,Object,OName,RAJ2000_1,DEJ2000_1,ObsDate,_tab1_7,TexpUVB,TexpVIS,TexpNIR,Lupus,Notes_1,n_Object,FHa,e_FHa,EWHa,e_EWHa,FHb,e_FHb,EWHb,e_EWHb,FHg,e_FHg,EWHg,e_EWHg,FHd,e_FHd,EWHd,e_EWHd,l_FHe,FHe,e_FHe,EWHe,e_EWHe,ra,dec,_RAJ2000,_DEJ2000,Region,CName,RAJ2000_2,DEJ2000_2,alpha,OType,FJ,FH,FKs,FIR1,FIR2,FIR3,FIR4,FMP1,FMP2,Sample_2,SpType,Teff,e_Teff,AV,Dist,logL_,e_logL_,R_,e_R_,l_M__B98_,M__B98_,e_M__B98_,l_M__B15_,M__B15_,e_M__B15_,M__DM97_,e_M__DM97_,l_M__DM97_,M__S00_,e_M__S00_,Notes_2,Template,l_logLacc,logLacc,l_logdMacc_dt_B98_,logdMacc_dt_B98_,l_logdMacc_dt_B15_,logdMacc_dt_B15_,l_logdMacc_dt_DM98_,logdMacc_dt_DM98_,l_logdMacc_dt_S00_,logdMacc_dt_S00_,Note,SimbadName
0.024904,,MY Lup,,16 00 44.53,-41 55 31.2,2015-06-26,2457199.070898,2x150,2x100,2x150,IV,,,6.04e-14,4.93e-14,-0.051,0.045,,,,,,,,,,,,,,,,,,240.18554166666664,-41.925333333333334,240.185547,-41.925339,LUP_IV,J160044.5-415531,240.185547,-41.925339,-0.62,YSOc_star+dust(IR3),263.0,344.0,305.0,177.0,141.0,140.0,213.0,590.0,1050.0,N,K0,5100,235,1.30,150,0.7762,0.3315,1.13,0.24,,0.99,0.10,,1.06,0.14,1.11,0.14,,1.02,0.13,td,HBC407,<,-2.3,<,-9.64,<,-9.67,<,-9.69,<,-9.65,a,MY Lup
0.024904,,MY Lup,,16 00 44.53,-41 55 31.2,2015-06-26,2457199.070898,2x150,2x100,2x150,IV,,,6.04e-14,4.93e-14,-0.051,0.045,,,,,,,,,,,,,,,,,,240.18554166666664,-41.925333333333334,240.185547,-41.925339,LUP_IV,J160044.5-415531,240.185547,-41.925339,-0.62,YSOc_star+dust(IR3),263.0,344.0,305.0,177.0,141.0,140.0,213.0,590.0,1050.0,N,K0,5100,235,1.30,150,0.7762,0.3315,1.13,0.24,,0.99,0.10,,1.06,0.14,1.11,0.14,,1.02,0.13,td,HBC407,<,-2.3,<,-9.64,<,-9.67,<,-9.69,<,-9.65,a,MY Lup
0.024904,,MY Lup,,16 00 44.53,-41 55 31.2,2015-06-26,2457199.070898,2x150,2x100,2x150,IV,,,6.04e-14,4.93e-14,-0.051,0.045,,,,,,,,,,,,,,,,,,240.18554166666664,-41.925333333333334,240.185547,-41.925339,LUP_IV,J160044.5-415531,240.185547,-41.925339,-0.62,YSOc_star+dust(IR3),263.0,344.0,305.0,177.0,141.0,140.0,213.0,590.0,1050.0,N,K0,5100,235,1.30,150,0.7762,0.3315,1.13,0.24,,0.99,0.10,,1.06,0.14,1.11,0.14,,1.02,0.13,td,HBC407,<,-2.3,<,-9.64,<,-9.67,<,-9.69,<,-9.65,a,MY Lup
0.153002,true,RXJ1556.1-3655,,15 56 02.09,-36 55 28.3,2014-04-28,2456775.268274,2x478,2x280,2x26,II,3,,2.97e-12,4e-14,-8.545,0.465,8.94e-13,4.2e-14,-3.019,0.281,7.03e-13,2.5e-14,-2.719,0.192,5.65e-13,2.3e-14,-2.404,0.178,,4.54e-13,1.8e-14,-2.017,0.159,239.0087083333333,-36.924527777777776,239.008743,-36.92456,RXJ1556.1-3655,J155602.1-365528,239.008743,-36.92456,-0.84,YSOc_star+dust(IR3),111.0,149.0,127.0,87.6,71.6,59.2,68.1,205.0,,T,M1,3705,171,1.00,150,0.2344,0.1000,1.17,0.27,,0.70,0.16,,0.50,0.13,0.47,0.14,,0.46,0.12,,SO879,,-0.9,,-8.07,,-7.92,,-7.90,,-7.89,,RXJ1556.1-3655
0.153002,true,RXJ1556.1-3655,,15 56 02.09,-36 55 28.3,2014-04-28,2456775.268274,2x478,2x280,2x26,II,3,,2.97e-12,4e-14,-8.545,0.465,8.94e-13,4.2e-14,-3.019,0.281,7.03e-13,2.5e-14,-2.719,0.192,5.65e-13,2.3e-14,-2.404,0.178,,4.54e-13,1.8e-14,-2.017,0.159,239.0087083333333,-36.924527777777776,239.008743,-36.92456,RXJ1556.1-3655,J155602.1-365528,239.008743,-36.92456,-0.84,YSOc_star+dust(IR3),111.0,149.0,127.0,87.6,71.6,59.2,68.1,205.0,,T,M1,3705,171,1.00,150,0.2344,0.1000,1.17,0.27,,0.70,0.16,,0.50,0.13,0.47,0.14,,0.46,0.12,,SO879,,-0.9,,-8.07,,-7.92,,-7.90,,-7.89,,RXJ1556.1-3655
0.047045,,SSTc2dJ154508.9-341734,,15 45 08.88,-34 17 33.7,2015-06-15,2457188.149771,2x900,2x850,2x960,I,,,6.11e-13,1.2e-14,-20.445,3.08,9.52e-14,1.22e-14,-6.407,1.8,4.62e-14,1.24e-14,-2.477,0.867,3.08e-14,1.05e-14,-4.2,1.68,<,1.78e-14,,,,236.28699999999998,-34.29269444444444,236.286987,-34.292687,LUP_I,J154508.9-341734,236.286987,-34.292687,-0.89,YSOc_star+dust(IR1),21.1,57.0,87.4,101.0,104.0,100.0,94.3,137.0,702.0,N,M5.5,3060,71,5.50,150,0.0575,0.0283,0.85,0.21,,0.13,0.03,,0.14,0.03,0.16,0.02,,0.14,0.02,,Sz107,,-1.8,,-8.38,,-8.41,,-8.47,,-8.41,,SSTc2dJ154508.9-341734
0.047045,,SSTc2dJ154508.9-341734,,15 45 08.88,-34 17 33.7,2015-06-15,2457188.149771,2x900,2x850,2x960,I,,,6.11e-13,1.2e-14,-20.445,3.08,9.52e-14,1.22e-14,-6.407,1.8,4.62e-14,1.24e-14,-2.477,0.867,3.08e-14,1.05e-14,-4.2,1.68,<,1.78e-14,,,,236.28699999999998,-34.29269444444444,236.286987,-34.292687,LUP_I,J154508.9-341734,236.286987,-34.292687,-0.89,YSOc_star+dust(IR1),21.1,57.0,87.4,101.0,104.0,100.0,94.3,137.0,702.0,N,M5.5,3060,71,5.50,150,0.0575,0.0283,0.85,0.21,,0.13,0.03,,0.14,0.03,0.16,0.02,,0.14,0.02,,Sz107,,-1.8,,-8.38,,-8.41,,-8.47,,-8.41,,SSTc2dJ154508.9-341734
0.047045,,SSTc2dJ154508.9-341734,,15 45 08.88,-34 17 33.7,2015-06-15,2457188.149771,2x900,2x850,2x960,I,,,6.11e-13,1.2e-14,-20.445,3.08,9.52e-14,1.22e-14,-6.407,1.8,4.62e-14,1.24e-14,-2.477,0.867,3.08e-14,1.05e-14,-4.2,1.68,<,1.78e-14,,,,236.28699999999998,-34.29269444444444,236.286987,-34.292687,LUP_I,J154508.9-341734,236.286987,-34.292687,-0.89,YSOc_star+dust(IR1),21.1,57.0,87.4,101.0,104.0,100.0,94.3,137.0,702.0,N,M5.5,3060,71,5.50,150,0.0575,0.0283,0.85,0.21,,0.13,0.03,,0.14,0.03,0.16,0.02,,0.14,0.02,,Sz107,,-1.8,,-8.38,,-8.41,,-8.47,,-8.41,,SSTc2dJ154508.9-341734
0.022089,,SSTc2dJ154518.5-342125,,15 45 18.53,-34 21 24.8,2015-06-25,2457198.97885,2x900,2x850,2x960,I,,,5.42e-14,3e-16,-27.795,2.57,4.78e-15,1.6e-16,-19.431,2.75,1.9e-15,8e-17,-15.574,2.5,1.07e-15,7e-17,-7.643,3.1,,7.48e-16,1.16e-16,-6.448,3.224,236.3272083333333,-34.35688888888889,236.327209,-34.356895,LUP_I,J154518.5-342125,236.327209,-34.356895,-1.0,YSOc_star+dust(IR1),35.1,42.0,42.8,37.7,37.9,35.8,40.3,38.5,,N,M6.5,2935,68,0.00,150,0.0407,0.0181,0.78,0.17,,0.08,0.02,,0.08,0.02,0.12,0.02,,0.10,0.01,,Par-Lup3-1,,-4.3,,-10.70,,-10.70,,-10.88,,-10.80,,SSTc2dJ154518.5-342125
0.022089,,SSTc2dJ154518.5-342125,,15 45 18.53,-34 21 24.8,2015-06-25,2457198.97885,2x900,2x850,2x960,I,,,5.42e-14,3e-16,-27.795,2.57,4.78e-15,1.6e-16,-19.431,2.75,1.9e-15,8e-17,-15.574,2.5,1.07e-15,7e-17,-7.643,3.1,,7.48e-16,1.16e-16,-6.448,3.224,236.3272083333333,-34.35688888888889,236.327209,-34.356895,LUP_I,J154518.5-342125,236.327209,-34.356895,-1.0,YSOc_star+dust(IR1),35.1,42.0,42.8,37.7,37.9,35.8,40.3,38.5,,N,M6.5,2935,68,0.00,150,0.0407,0.0181,0.78,0.17,,0.08,0.02,,0.08,0.02,0.12,0.02,,0.10,0.01,,Par-Lup3-1,,-4.3,,-10.70,,-10.70,,-10.88,,-10.80,,SSTc2dJ154518.5-342125
